Question_ID,Question,Selections,Answer,Explanation
11,朱老旧小区停车难问题一直困扰着社区居民 。于是，社区居民不得已开始自发在车上留下联络电话，并逐渐养成了按标准车距规范停车等行为 。这体现了社区对居民行为的影响是 （），,A. 社区居民之间的停车行为具有共同特征B. 社区自身存在错综复杂的社会交往关系C. 社区自身的社会规范约束居民的停车行为D. 社区居民对社区的认同感影响了停车行为,C,"本题考查的是社区对人类行为的影响。社区对人类行为的影响主要有4个方面:(1)社区成员具有某些共同特征,如相似的社会经济地位、生活方式、文化和风俗习惯等。(2)社区成员之间存在着复杂的社会交往关系,在交往中彼此产生影响。(3)社区本身是一种社会组织,具有本身的社会规范,对社区成员的行为具有约束作用。(4)社区成员对社区具有强烈的认同感和归属感,这种认同感也会影响社区成员的行为。题干中,该小区存在停车难问题,社区居民自发留下联络电话并逐步形成规范停车行为,体现了社区自身的社会规范约束居民的停车行为,故选C。"
12,林先生，42 岁，某企业中层管理人员 。即便平日工作再忙 ，他也会抽出时间照顾家庭 ，经常陪伴孩子骑车 、 踢球 ，辅导孩子功课 ，与妻子一起做家务 ，家庭关系融洽。林先生的上述情况 ，符合中年阶段社会性发展特征的是 （）。,A. 责任意识增强 B. 社会角色转变C. 社会情感发展 D. 认知能力发展,A,"木题考查的是中年阶段社会性发展特征。中年人在许多方面发生了变化,这主要表现在:第一,情感趋于深沉稳定,性格也完全定型,意志成熟坚毅,情感控制能力加强,道德感和理智感上升;第二,婚姻中的责任感已经超越情感,婚姻更加务实;第三,处于事业成败的关键期。中年人在事业、地位和财富上基本达到人生的岩峰状态。依据题干可知,林先生抽出时间照顾家庭,经常陪伴孩子、与妻子一起做家务,说明林先生承担作为丈夫与父亲的家庭责任和义务,体现出符合其年龄与身份的社会行为。故选A。"
13,初三学生小亮在家上网课时经常控制不住自己偷偷玩游戏 。由于临近中考，父母担心亲子冲突影响升学 ，对小亮玩游戏的行为睁一只眼 ，闭一只眼 。小亮父母的教养方式属于 （）,A. 娇纵型 B. 支配型 C. 专制型 D. 放任型,D,"本题考查的是家庭教养模式。(1)娇纵型: 父母盲目溺爱、疏于管束，以自我为中心,易形成反社会人格。(2)支配型:过分溺爱+严加管束,易出现怯懦、意志薄弱,清高孤傲心理。(3)专制型:家长缺乏爱心、耐心,管理粗暴,易出现自卑、消极、暴踩、依赖心理。(4)放任型:家长既缺少爱心、耐心,也缺乏责任感,对孩子放任自流。在放任型的家庭教养模式下,孩子由于得不到必要指导和正常约束,会形成缺乏自信、自制力差、不负责任、情绪波动异常、待人处事具有攻击伯、易受诱惑、做事权宜敷衍、缺乏理想等心理倾向。依据题干,小亮“控制不住自己偷偷玩游戏“,父母“眷一只眼,闭一只眼“,并未进行约束与指导。属于放任型的家庭教养方式。故选D。"
14,小山曾因交友不慎而吸毒，经社会工作者帮助成功戒毒，并从受助者变为助人者，他以同伴志愿者的身份加人 “预防复吸，戒除毒瘾” 社区宣传活动 。根据阿尔德弗尔的 ERG 理论 ，小山的需要属于 （）。,A. 生存需要 B. 关系需要 C. 成长需要 D. 中介需要,C,"本题考查的是阿尔德弗尔的ERC理论。阿尔德弗尔的ERC理论是指人类有三种基本需要:生存的需要、关系的需要和成长的需要。(1)生存的需要。这类需要关系到人的机体的存在或生存,包括衣、食、住以及工作组织为使其得到这些要紧而提供的手段。(2)关系的需要。这是指发展人际关系的需要。这种需要通过工作中或工作以外与其他人的接触和交往得到满足。(3)成长的需要。这是个人自我发展和自我完善的需要。这种需要通过发展个人的潜力和才能,使个人得到满足。根据题干,小山以“同伴志愿者“的身份加入宣传活动,体现了小山的需要是成长的需要,故选C。"
15,为改善安宁病房临终老人的情绪状态，社会工作者通过人生回顾 、 共话故事等方式开展个案服务 。针对老年阶段面临的主要问题 ，社会工作者的上述服务 ，最能反映出老年临终关怀服务的内容是 （）。,A. 哀伤辅导 B. 政策倡导 C. 生命教育 D. 遗嘲预立,A,"本题考查的是老年临终关怀服务内容的知识。社会工作者可以为老年人提供的服务有:(1)丧偶与哀伤辅导。指协助老年人在面临悲伤事件时,能够在合理的时间内处理悲伤情绪,提升重新开始正常生活的能力。(2)帮助老年人形成对死亡的理性认识,积极应对死亡。(3)为老年人提供临终关怀的服务。对生命临终病人及其家属进行生活护理、心理安慰及社会服务等全方位的缓解性、支持性关怀照顾。故A正确。"
16,赵先生从小被父亲严厉管教 ，父子关系疏离 。最近父亲突发脑梗 ，需要他照顾 。赵先生想到要和父亲相处 ，就感到异常紧张，担心自己照顾不周被父亲责骂，就向社会工作者老金求助 。根据精神分析理论，老金在与赵先生建立良好关系时需特别注意（）,A. 让赵先生感受到支持与安全 B. 与赵先生形成指导性的关系C. 激发赵先生个人的内在价值 D. 与赵先生建立平等伙伴关系,A,"本题考查的是精神分析理论在社会工作实务中的应用。精神分析理论认为个人的问题缘于内在的精神冲突,这些冲突与早期经验有关,五且潜藏于潜意识中,是理性无法觉察的。精神分析理论在社会工作实务中遮循的原则之一是治疗者要为服务对象提供一个安全与支持的环境,以保证能够顺利地了解他隐藏在潜意识中的经验,并保证在治疗过程中产生的负面情绪不会给服务对象造成新的伤害。依据题干可知,赵先生早年与父亲相处并不融洽,存在着对父亲的恐惧情绪,使得如今需要照顾父亲时,感到紧张,担心被责骂。老金在与赵先生建立良好关系时需特别注意让赵先生感受到支持与安全,净轻赵先生的焦虑情绪。B选项属于认知行为理论的内容,C选项属于人本主义的内容,D选项属于增强权能理论的内容。故选A。"
17,大彬找工作时总是在面试环节被淘汰，以至于他对面试产生了心理阴影，一进人面试场地就身体僵硬 ，手足无措 。为此 ，大彬向社会工作者大洪求助 。为了帮助大彬缓解在真实面试场景中产生的紧张焦虑情绪 ，大洪运用认知行为理论中的逆向操作方法介入 ，下列适宜的做法是 （）。,A. 在实施逆向操作前征得大彬同意 B. 给大彬布置逆向操作的家庭作业C. 逆向操作时让大彬独自体验面试情境 D. 让大彬在送向操作中形成正向的经验,A,"本题考查的是认知行为学派的助人过程。逆向操作方法,是指让服务对象提前面对其所担心的行为或情境,让服务对象的焦虑提前发作,在提前体验焦虑情境的过程中澄清错误认知。这样就可以避免在真宝情境中焦虑发作。但必须注意的是,逆向操作不可用于有自杀意图的个案身上。另外,在使用逆向操作时必须事前征得服务对象的同意,且社会工作者必须全程陪同服务对象,不可以安排服务对象自行完成。故选A。"
18,学校社会工作者郝老师对本校学生的心理健康状况进行调查，发现存在心理困扰的学生大多缺失家庭监护，学习也有困难，甚至出现沉迷网络游戏 、 逃学等行为 。郝老师运用生态系统理论为这些学生设计服务方案 。下列服务中 ，最能体现生态系统理论特点的是 （）。,A. 对心理问题较为严重的学生进行个案辅导B. 为存在学习困难的学生链接志愿服务资源C. 为出现网瘟问题的学生开设行为治疗小组D. 对出现逃学行为的学生及时进行批评教育,B,"本题考查的是生态系统理论。生态系统理论的关键在于将服务对象放在一个有层次的系统之中,将服务对象与其所生活的环境作为一个整体来看待,通过改变系统来实现个人需要的满足。强调从服务对象处境出发,充分认识情境的重要性,重传过程、与他人一起工作,包括重视他人、个人支持网络、机构和社区资源。A、C、D选项都是直接针对个人的,未涉及“系统“与“情境“,均错误。故选B。"
19,刘女士曾遮受丈夫的家庭暴力 ，现已离婚 ，独自带着 15 岁的女儿生活 。刘女士自身文化程度较低 ，无法辅导女儿的功课 ，与女儿沟通较困难 。最近刘女士失业觉得自已很失败 ，对生活失去信心 ，向社会工作者求助 。根据存在主义理论 ，以下社会工作者适宜开展的服务是 （）。,A. 帮助刘女士了解就业支持政策 ，寻找合适工作岗位B. 教授刘女士与女儿沟通的技巧，改善母女之间关系C. 链接大学生志愿者 ，为刘女士的女儿提供学业辅导D. 引导刘女士对自己过往生活中的成功经验予以肯定,D,"本题考查的是存在主义理论。存在主义理论强调个人生命的意义,强调个人的内在价值,认为包括个人痛苦的经历都是有意义的。社会工作者重点在于帮助服务对象重新理解过去经历的意义,并将过去的生活和经验梳理清楚。社会工作者在与服务对象一起工作的过程中,引导他们发现过往生活中的闪光点并加以肯定,让这些闪光点在现在的生活中重新发挥作用。故D正确。"
20,初中生小美的父母离异，父亲因诈骗入狱，她跟爷爷奶奶一起生活 。小美经常听到周围邻居议论自己家的事情 ，她也因此感到低人一等 ，认为自己没有什么优点 ，很自卑 。小美不想让同学知道自己的情况 ，与同学关系疏远 ，总是独来独往 。班主任老师观察到小美的情况后 ，将其转介给学校社会工作者 。根据增能理论 ，社会工作者的下列做法 ，最能体现个人层面增能的是 （）。,A. 消除邻里对小美一家人的偏见 B. 提升小美应对其他人歧视的能力C. 为小美一家争取社区系统支持 D. 邀请小美参加社区儿童支持小组,B,"本题考查的是增强权能理论。增强权能是指增强人的权利和能力。权能一般发生在3个层次上:一是个人层次,包括个人感觉有能力去影响或解决问题;二是人际层次,指的是个人和他人合作促成问题解决的经验;三是环境层次,指能够改变那些不利于个人权能发展的制度安排。A、C选项属于环境层次,D选项属于人际层次。故选B。"
21,初一学生小薛个性十分要强，凡事都要争第一 ，如果得不到就会暴躁与失落 。近日 ，因为输了一场篮球赛 ，小薛情绪低落 ，母亲说了他两史 ，他就要离家出走 。父亲常年出差 ，无睿顾及家庭 。小薛的情况让母亲十分着急 ，于是向社会工作者小王求助 。下列小王为小薛提供个案服务的首要任务是 （）。,A. 帮助小薛增强自我情绪管理能力 B. 邀请母亲参加社区亲职能力小组C. 鼓励小薛多加训练提高篮球技能 D. 辅导父亲以提高其亲子沟通能力,A,"本题考查的是个案工作的本质。个案工作的本质是恢复和增强个人或家庭的社会功能。当服务对象寻求帮助时,通常已经在日常生活中遇到困难而自己无法解决,无法完全承担社会所要求的责任。因此,帮助服务对象增强自身的能力、提高与社会环境之间的适应水平、恢复社会所要求的功能,是个案工作的首要任务。依据题干,小薛因输了球赛情绪低落,要离家出走,说明不能很好地管理自己的情绪,社会工作者的首要任务就是帮助他增强自我情绪管理能力,故选A。"
22,万先生 ，36 岁 ，轻度智力障碍 ，幼年时父亲离世 。母亲一直担心他在外被欺负 ，从小就不让他与别人多接触 。最近万先生因之前工作的福利工厂效益不好 ，失业在家 ，整日无所事事 ，不与人沟通 。母亲很心疼儿子 ，担心自己老了后 ，儿子无人照料 ，便向社会工作者求助 。根据心理社会治疗模式中反思性直接治疗技巧 ，以下社会工作者适宜的做法是 （）。,A. 不带评判地倾听万先生的想法 ，表达对他的处境的理解B. 帮助万先生及其母亲申请社会救助并建立社区支持网络C. 表达对于万先生整天闫闫不乐且不与人交流原因的看法D. 协助万先生分析自己现在的状况与母亲的关爱保护有关,D,"本题考查的是心理社会治疗模式中反思性直接治疗技巧。反思性直接治疗技巧主要包括现实情况反思、心理动力反思和人格发展反思。(1)现实情况反思是指社会工作者帮助服务对象对自己所处的实际状况作出正确的理解和分析的技巧(D选项符合)。(2)心理动力反思是指社会工作者协助服务对象正确了解和分析自巳内心的反应方式的技巧。(3)人格发展反思是社会工作者帮助服务对象重新认识和评价目己的以往经历、调整自己人格的技巧。A选项属于非反思性直接治疗技巧中的支持,C选项属于非反思性直接治疗技巧中的直接影响,B选项属于介入模式。故选D。"
23,服务对象：“我要是没找到工作，我爸爸会非常生气，那就很可怕！” 社会工作,A. 自我表露 B. 晴代性选择 C. 理性功课 D. 去灾难化,D,"本题考查的是非理性信念的辩论技巧。包括:(1)自我表露:借助社会工作者表露自己感受的方式,让服务对象观察和学习理性的生活方式。(2)替代性选择,借助替代性方法的寻找,帮助服务对象逐渐克服喜欢极端化的非理性信念。(3)理性功课。帮助服务对象改变非理性信念的语言模式,如“必须…...““应该…...“等,从而形成理性的思维方式。(4)去灾难化。让服务对象尽可能设想最坏的结果,直接面对原来担心害怕的事件(灾难),从而使服务对象担心害怕的非理性信念显现出来。依据题干,社会工作者“那你可以跟我说说,你爸爸生气时会怎么样昵？““这么看,你觉得“可怕“的事件会发生吉9“引导服务对象怡考“最坏结果“。故选D。"
24,服务对象秦女土对女儿有打骂行为 。在面谈中 ，秦女士向社会工作者小兰抱怨 ：“你们都是这样 ，只听孩子的话 ，都不相信我说的 ，我女儿不听话 ，我才会打骂她的 。”  小兰回应道 ：“谢谢你愿意告诉我这些想法 ，听到你这样说 ，我有些委屈 ，其实你说的话和孩子说的话 ，我都会同样认真对待 ，我很想和你一起解决问题 。” 根据人本治疗模式，上述对话反映个案辅导关系的特点是 （）。,A. 表里如一 B. 不评价 C. 同感 D. 无条件接纳,A,"本题考查的是人本治疗模式的特点一一“强调个案辅导关系“。(1)表里如一。社会工作者需要对自己的感受开放,让自己的意见和态度与自己的真实感受相一致。依据题一,“谢谢你愿意告诉我这些想法,听到你这样说,我有些委屈““你说的话和孩子说的话,我都会同样认真对待“,体现为表里如一。A正确。(2)不评价。社会工作者不应该按照自己的标准评价服务对象的感受和行为,把自己的价值作为标准强加给服务对象。(3)同感。社会工作者把自己置于服务对象的处境中,从服务对象的角度体会和理解对方的各种内心感受,做到感同身受。(4)无条件的接纳。无论服务对象好的方面还是不好的方面,社会工作者都需要采取接纳的态度,关注服务对象本身。故选A。"
25,王先生和妻子近期因孩子教育问题产生了激烈的冲突，向社会工作者老安寻求帮助 。在面谈时 ，老安了解到 ，妻子和儿子的关系比较亲近 ，夫妻两人冷战时 ，儿子是他们的传话筒 。于是老安让王先生一家将家里真实的冲突场景模拟出来 ，帮助他们厘清每个人在冲突中的表现是如何影响其他家庭成员的 。根据结构式家庭治疗模式 ，老安所运用的以下技巧是 （）,A. 重演和划清界限 B. 促进互动和集中焦点C. 重演和促进互动 D. 集中焦点和划清界限,C,"本题考查的是结构式家庭治疗模式的治疗技巧。(1)重演,即让家庭成员实际表现相互交往冲突的过程,昔现家庭的基本结构和交往方式。(2)划清界限,即帮助家庭成员分清交往的边界线,使家庭成员之间的交往变得更有弹性。(3)互动方式,即让家庭成员了解相互之间的关联方式,明白自己是怎样影响其他家庭成员的,关注家庭成员之间的互动方式。(4)集中焦点,即让家庭成员的注意力集中在家庭交往方式与问题的关联上,避免家庭成员回避问题。依据题一,“老安让王先生一家将家里真实的冲突场景模拟出来“属于“重演“;“帮助他们厘清每个人在冲突中的表现是如何影响其他家庭成员的“属于“促进互动“。故选C。"
26,社会工作者老赵在社区走访中，发现有位老人常坐在凉亭发呆。老赵主动与老人交谈 ，得知她老伴刚刚离世 ，女儿在国外工作 ，目己也没有什么朋友 ，觉得孤单寂寞 。老赵在征得其同意后 ，开始为她提供个案服务 。该服务对象来源属于 （）。,A. 外展工作 B. 本人求助 C. 个案访谈 D. 社区转介,A,"本题考查的是个案服务对象的来源。有些机构可能通过外展的形式深人社区,寻找或鼓励潜在的服务对象进人服务机构,让他们有机会获得服务机构提供的各类服务。这些机构一般会寻找最需要服务的服务对象群,或者那些自已没有接触过机构的服务对象,如流浪乞讨人员、体弱多病的老人。运用外展方式挖掘服务对象的机构,虽然不能够让服务对象自然进入服务机构,但表明机构有足够的资源为这些有需要的人群提供必要的服务。依据题干,社会工作者“在社区走访中““主动与老人交谈“属于外展工作,故选A。"
27,服务对象小军是一名大四学生，在与社会工作者的某次面谈中表示，自己有三门课程不及格，如果不能顺利毕业会对不起父母，压力很大 。他想努力学习但又抵挡不住网络游戏的诱惑 ，克得只有玩游戏才能缓解压力 。社会工作者的下列回应中 ，运用摘要技巧的是 （）。,A. “小军，你刚才提到了很多要解决的问题，你最想解决的问题是什么？”B. “小军，既然你知道再不用功就无法毕业，那为什么还不作出改变呢？”C. “小军，你刚才讲的有两个意思，一个是自己不能顺利毕业，有压力；另一个是D. “小军，我能理解你的矛盾感受，你觉得一直打游戏就很难毕业，对不起父母，但你仍然没办法控制自己。”,C,"本题考查的是摘要技巧。摘要即社会工作者将服务对象长段谈话或者不同部分的话题进行整理,概括和归纳其中的要点。C选项社会工作者总结归纳了服务对象的表述,“有两个意思,一个是…...另一个是…...是吗？“符合题意。A选项“最想解决“属于对焦。B选项“为什么还不作出改变呢？“属于对质。D选项“理解你的矛盾感受“属于同理。故选C。"
28,10 岁的丹丹，母亲因病去世，父亲因车祸致右腿截肢，与祖父母一起生活 。班主任老师在一次早操中发现丹丹身体有淤青 ，担心其遭受暴力 ，便转介给学校社会工作者王老师 。王老师对丹丹的现状进行了评估 ，制订了详细的服务计划，包括 ：联系儿童医院为丹丹检查伤势 ，联络心理咨询师为丹丹做辅导 ，向民政部门申请囱境儿童补助 ，为丹丹父亲咨询残疾补贴政策 ，为丹丹父亲和祖父母提供亲职教育等 。王老师的上述做法体现了个案管理实施的 （）。,A. 服务监督原则 B. 包衣式服务原则C. 服务倡导原则 D. 服务对象参与原则,B,"本题考查的是个案管理实施的原则。(1)服务监督原则:评估和监督是个案管理中的重要组成部分,其目的是确保所提供服务能够达到服务对象认可的标准。例如,评价资源的运用是否充分、是否有效,已经服务干预所产生的影响,等等。这些评估和监督一方面能够作为结案的参考;另一方面也可以充分展示服务的效果,保障各项服务之间协调,使服务对象获得所需要的服务。(2)包啧式服务原则:经过需求评估和可利用资源的确认后设计一整套服务,并且通过各种服务的联结最终促使服务对象学会独立自主。个案管理强调服务的连续性,既包括时间上的连续性,也包括服务的完整性,以此来保障服务对象所获得的各项服务之间紧密联结。(3)服务对象参与原则:个案管理强调服务对象与社会工作者一起工作,包括需求的评估、包裹式服务的规划与组织等,都是由双方共同作决定。服务对象需要参与整个个案管理过程,在其中要充分表达个人的需求和意见,同时具有相当程度的选择权和自决权。依据题干,王老师“对丹丹的现状进行了评估,制订了详细的服务计划“,符合要求“包喇式服务原则“。个案管理实施没有“服务倡导原则“,C选项错误。故选B。"
29,学校社会工作者通过开展小组服务，教授学生家长管教子女的方法，缓解家长教育子女的压力；引导家长分享教育子女的经验 ，促进相互交流 。上述针对家长开展的小组类型是 （）。,A. 教育小组和成长小组 B. 成长小组和治疗小组C. 成长小组和支持小组 D. 教育小组和支持小组,D,"本题考查的是小组工作的类型。(1)教育小组:通过帮助小组组员学习新知识、新方法或补充相关知识,促使成员改变原来对于自己的问题不正确的看法及解决方式,从而实现小组组员发展目标。(2)成长小组:帮助组员了解、认识和探索自己,从而最大限度运用自己内在及外在资源,充分发挥自己潜能,解决所面临的问题,促进个人发展和成长。(3)支持小组:是由某一共同性问题的小组组员组成的。通过小组组员之间提供信息、建议、鼓励和情感支持,带动解决问题和改变成员的效果。(4)治疗小组:组员来自社会适应不良,或者社会关系网络断裂而导致行为问题的人群。如对吸毒人员开展“美沙酮治疗小组“、社区矫正对象“星星点灯小组“等。依据题干,“教授方法“属于教育小组,“引导分享,促进交流“属于支持小组,故选D。"
