Question_ID,Question,Selections,Answer,Explanation
11,"根据《中华人民共和老国年人权益保障法》, 我国建立和完善以( ) 为基础的社会养老服务体系。",A. 居家B. 社区C. 机构D. 社会工作服务站,A,"本题考查社会养老服务体系的规定。 《中华人民共和老国年人权益保障法》第五条规定, 国家建立多层次的社会保障体系, 逐步提高对老年人的保障水平。国家建立和完善以居家为基础、社区为依托、机构为支撑的社会养老服务体系。故选A。"
12,"女职工小丽与小强相恋, 双方分手后, 小强对小丽进行骚扰、纠缠并散布小丽隐私和个人信息, 根据《中华人民共和妇国女权益保障法》, 小丽可以向( ) 申请人身安全保护令。",A. 公安机关B. 人民法院C. 民政局D. 妇女联合会,B,"本题考查人身安全保护令的发出单位。 《中华人民共和妇国女权益保障法》第二十九条规定, 禁止以恋爱、交友为由或者在终止恋爱关系、离婚之后, 纠缠、骚扰妇女, 泄露、传播妇女隐私和个人信息。妇女遭受上述侵害或者面临上述侵害现实危险的, 可以向人民法院申请人身安全保护令。故选B。"
13,"小明的爷爷拟以小明父母失联为由, 申请认定小明为事实无人抚养儿童。根据《关于进一步加强事实无人抚养儿童保障工作的意见》, 认定小明父母失联的依据是, 小明父母双方均失去联系且未履行监护抚养责任( ) 以上。",A. 3 个月B. 6 个月C. 9 个月D. 12 个月,B,"本题考查事实无人抚养儿童的界定。事实无人抚养儿童是指父母双方均符合重残、重病、服刑在押、强制隔离戒毒、被执行其他限制人身自由的措施、失联情形之一的儿童; 或者父母一方死亡或失踪, 另一方符合重残、重病、服刑在押、强制隔离戒毒、被执行其他限制人身自由的措施、失联情形之一的儿童。其中, 重残是指一级二级残疾或三级四级精神、智力残疾; 重病由各地根据当地大病、地方病等实际情况确定; 失联是指失去联系且未履行监护抚养责任6 个月以上; 服刑在押、强制隔离戒毒或被执行其他限制人身自由的措施是指期限在6 个月以上; 死亡是指自然死亡或人民法院宣告死亡; 失踪是指人民法院宣告失踪。故选B。"
14,"根据《中华人民共和未国成年人保护法》, 下列未成年人, 民政部门应当依法对其进行长期监护的是( ) 。","A. 小明, 父亲去世, 母亲下落不明B. 小红, 监护人怠于履行监护职责, 导致无人照料C. 小梅, 流浪乞讨, 暂时查找不到其父母或者其他监护人D. 小飞, 监护人丧失监护能力且无其他人可以担任监护人",D,"本题考查对未成年人进行国家监护的规定。 《中华人民共和未国成年人保护法》第九十四条规定, 具有下列情形之一的, 民政部门应当依法对未成年人进行长期监护:( 一) 查找不到未成年人的父母或者其他监护人; (二) 监护人死亡或者被宣告死亡且无其他人可以担任监护人; ( 三) 监护人丧失监护能力且无其他人可以担任监护人;(四) 人民法院判决撤销监护人资格并指定由民政部门担任监护人; (五) 法律规定的其他情形。根据题目, 只有小飞符合第三种情形。故选D。"
15,"甲乙镇村残疾人贺某欲申领困难残疾人生活补贴。根据《国务院关于全面建立困难残疾人生活补贴和重度残疾人护理补贴制度的意见》, 贺某应当向( ) 受理窗口提交书面申请。",A. 丙村民委员会B. 乙镇人民政府C. 甲县残疾人联合会D. 甲县民政局,B,"本题考查残疾人两项补贴的申领程序。根据《国务院关于全面建立困难残疾人生活补贴和重度残疾人护理补贴制度的意见》的规定, 残疾人两项补贴由残疾人向户籍所在地街道办事处或乡镇政府受理窗口提交书面申请。由街道办事处或乡镇政府受理初审, 初审合格材料报送县残联审核, 审核合格材料转送县级人民政府民政部门审定, 审定合格材料由县级人民政府民政部门会同县级残联报同级财政部门申请拨付资金。故选B。"
16,"丁某拟与妻子协议离婚, 双方就丁某在婚姻关系存续期间所借债务是否为丁某个人债务产生分歧。根据《中华人民共和民国法典》, 下列债务, 应认定为丁某个人债务的是( ) 。",A. 丁某与他人赌博所借的债务B. 丁某以个人名义所借的购置家用电视的债务C. 丁某以个人名义所借的用于自家装修的债务D. 丁某以个人名义所借的用于夫妻共同生产经营的债务,A,"本题考查夫妻共同债务的规定。 《中华人民共民和法国》典第一千零六十四条规定, 夫妻关系存续期间产生的如下债务, 应认定为共同债务: 夫妻双方共同签名或者夫妻一方事后追认等共同意思表示所负的债务; 夫妻一方在婚姻关系存续期间以个人名义为家庭日常生需活要所负的债务。夫妻一方在婚姻关系存续期间以个人名义超出家庭日常生活需要所负的债务, 不属于夫妻共同债务; 但是, 债权人能够证明该债务用于夫妻共同生活、共同生产经营或者基于夫妻双方共同意思表示的除外。根据题目, B、C 、D 选项属于共同债务的情形, A 选项属于个人债务。故选A。"
17,"秦某、晋某结婚后, 没有进行财产约定。根据《中华人民共和国民法典》及相关司法解释, 秦某、晋某在婚姻关系存续期间所得的下列财产, 属于夫妻一方个人财产的是( ) 。",A. 秦某婚前个人财产婚后投资收入B. 晋某婚前个人存款婚后在法律规定内产生的孳息C. 秦某婚后出版著作收入D. 晋某婚后个人工资,B,"本题考查夫妻个人特有财产的规定。夫妻法定个人特有财产是指夫妻依据法律规定或双方约定, 各自享有财产所有权的财产。根据《中华人民共民和法国典》婚姻家庭编, 夫妻个人特有财产包括: 夫妻一方所有的婚前财产; 一方因受到人身损害获得的赔偿或者补偿; 遗嘱或赠与合同中确定只归一方的财产; 一方专用的生活用品; 其他应当归一方所有的财产。根据《民法典婚姻家庭编司法解释( 一) 》, 夫妻一方个人财产在婚后产生的孳息和自然增值, 军人的伤亡保险金、伤残补助金、医药生活补助费属于个人财产。认定夫妻个人特有财产时应注意, 夫妻一方所有的财产, 不因婚姻关系的延续而转化为夫妻共同财产, 但当事人另有约定的除外。A、C 、D 选项都属于婚后共同财产。故选B。"
18,"根据《中华人民共和国民法典》, 下列亲属, 属于近亲属的是()",A. 孙女B. 叔叔C. 外甥D. 岳母,A,"本题考查近亲属的规定。 《中华人民共和民国法典》第一千零四十五条规定, 亲属包括配偶、血亲和姻亲。配偶、父母、子女、兄弟姐妹、祖父母、外祖父母、孙子女、外孙子女为近亲属。故选A。"
19,"根据《中华人民共和民国法典》, 王某立遗嘱时, 下列人员可以作为遗嘱见证人的是( ) 。","A. 赵某, 限制民事行为能力人, 不是继承人B. 钱某, 完全民事行为能力人, 是受遗赠人C. 孙某, 完全民事行为能力人, 是王某的债权人D. 李某, 完全民事行为能力人, 是王某的主治医生, 无利害关系",D,"本题考查遗嘱见证人的规定。 《中华人民共和民国法典》继承编第一千一百四十条规定, 下列人员不能作为遗嘱见证人: 无民事行为能力人、限制民事行为能力人以及其他不具有见证能力的人; 继承人、受遗赠人; 与继承人、受遗赠人有利害关系的人。根据《民法典继承编司法解释( 一) 》第二十四条规定, 继承人、受遗赠人的债权人、债务人, 共同经营的合伙人, 也应当视为与继承人、受遗赠人有利害关系, 不能作为遗嘱的见证人。本题中, 赵某为限制民事行为能力人, 钱某为受遗赠人, 孙某为王某债权人, 均不能作为遗嘱见证人, 只有李某既是完全民事行为能力人, 又与王某没有利害关系。故选D。"
20,"根据《中华人民共和人国民调解法》, 经人民调解委员会调解达成调解协议后，当事人之间就调解协议的履行或者调解协议的内容发生争议的, 一方当事人可以( ) 。",A. 向行政机关提起诉讼B. 向行政机关提起复议C. 向人民法院提起诉讼D. 向人民法院申请强制执行,C,"本题考查调解协议的效力。经人民调解委员会调解达成的调解协议, 具有法律约束力, 当事人应当按照约定履行。人民调解委员会应当对调解协议的履行情况进行监督, 督促当事人履行约定的义务。经人民调解委员会调解达成调解协议后, 当事人之间就调解协议的履行或者调解协议的内容发生争议的, 一方当事人可以向人民法院提起诉讼。故选C。"
21,"根据《信访工作条例》, 信访人对信访处理意见不服的, 可以自收到书面答复之日起( ) 日内请求原办理机关、单位的上一级机关、单位复查。",A. 30 B. 45 C. 60 D. 90,A,"本题考查信访事项的办理期限。《信访工作条例》第三十五条规定, 信访人对信访处理意见不服的, 可以自收到书面答复之日起30 日内请求原办理机关、单位的上一级机关、单位复查。收到复查请求的机关、单位应当自收到复查请求之日起30 日内提出复查意见, 并予以书面答复。故选A。"
22,"某地发生山洪灾害影响涉及甲省乙市下辖的县某镇和丁县某乡交界地区, 根据《中华人民共和突国发事件应对法》, 这一突发事件的应对工作应该由( ) 人民政府负责。",A. 甲省B. 乙市C. 丙县D. 丁县,B," 本题考查突发事件应急管理体制。 《中华人民共突和发国事件应对法》第七条规定, 县级人民政对府本行政区域内突发事件的应对工作负责; 涉及两个以上行政区域的, 由有关行政区域共同的上一级人民政负府责, 或者由各有关行政区域的上一级人民政府共同负责。故选B。"
23,"根据《中华人民共和社国区矫正法》, 关于未成年人社区矫正的说法, 正确的是( ) 。","A. 未成年人的社区矫正和成年人社区矫正可以共同进行B. 年满14 周岁, 有就业意愿的, 社区矫正机构为其提供职业技能培训C. 未成年社区矫正对象在矫正期间表现优秀的可以公开表扬D. 未成年社区矫正对象在社区矫正期间年满18 周岁的, 继续按照未成年人社区矫正有关规定执行",D,"本题考查未成年人社区矫正的规定。对未成年人的社区矫正, 应当与成年人分别进行, A 选项错误。年满十六周岁的社区矫正对象有就业意愿的, 社区矫正机构可以协调有关部门和单位为其提供职业技能培训, 给予就业指导和帮助, B选项错误。社区矫正机构工作人员和其他依法参与社区矫正工作的人员对履行职责过程中获得的未成年人身份信息应当予以保密。除司法机关办案需要或者有关单位根据国家规定查询外, 未成年社区矫正对象的档案信息不得提供给任何单位或者个人。依法进行查询的单位, 应当对获得的信息予以保密, C选项错误。未成年社区矫正对象在社区矫正期间年满十八周岁的, 继续按照未成年人社区矫正有关规定执行。故选D。"
24,"根据《中华人民共和禁国毒法》, 下列吸毒成瘾人员, 公安机关可以直接对其做出强制隔离戒毒的是( ) 。","A. 小王, 15 岁, 拒绝接受社区禁毒管理B. 小李, 17 岁, 严重违反社区禁毒协议C. 小张, 22 岁, 怀孕3 个月D. 小赵, 32 岁, 孩子9 个月",B,"本题考查强制隔离戒毒的适用人员。 《中华人民共和禁国毒法》第三十八条、第三十九条规定, 吸毒成瘾人员有下列情形之一的, 由县级以上人民政府公安机关作出强制隔离戒毒的决定: ( 1) 拒绝接受社区戒毒的。(2) 在社区戒毒期间吸食、注射毒品的。 (3 ) 严重违反社区戒毒协议的。(4) 经社区戒毒、强制隔离戒毒后再次吸食、注射毒品的。但是, 怀孕或者正在哺乳自己不满一周岁婴儿的妇女、不满16 周岁的未成年人吸毒成瘾的, 可以不适用强制隔离戒毒。故选B。"
25,"小张, 26 周岁, 患有间歇性精神疾病, 发病时不能控制自己行为。某日, 小张发病期间违反了治安管理规定。根据《中华人民共和治国安管理处罚法》, 关于对小张处理的说法, 正确的是( ) 。","A. 不予处罚, 但是应当责令其监护人严加看管和治疗B. 从重处罚, 同时处罚其监护人C. 从轻处罚, 但是应从重处罚其监护人D. 减轻处罚, 责令其监护人送医治疗",A,"本题考查治安管理处罚的适用。 《中华人民共和治国安管理处罚法》第十三条规定, 精神病人在不能辨认或者不能控制自己行为的时候违反治安管理的, 不予处罚, 但是应当责令其监护人严加看管和治疗。间歇性的精神病人在精神正常的时候违反治安管理的, 应当给予处罚。故选A"
26,"公安机关认为对被处罚人暂缓执行行政拘留不致发生社会危险的, 由符合规定条件的担保人担保, 可以暂缓执行。根据《中华人民共和治国安管理处罚法》, 下列人员符合担保人条件的是( ) 。","A. 赵某, 与案件无牵连, 有当地常住户口, 被剥夺政治权利B. 李某, 本案证人, 有当地常住户口和固定住所, 工作稳定, 身体健康C. 王某, 本案证人, 有当地固定住所, 工作稳定, 薪资待遇较好, 身体健康D. 孙某, 与案件无牵连, 有当地常住戶口和固定住所, 工作稳定, 身体健康",D,"本题考查暂缓行政拘留中的担保人条件。 《中华人民共和治国安管理处罚法》第一百零七条规定, 被处罚人不服行政拘留处罚决定, 申请行政复议、提起行政诉讼的, 可以向公安机关提出暂缓执行行政拘留的申请。公安机关认为暂缓执行行政拘留不致发生社会危险的, 由被处罚人或者其近亲属提出符合规定条件的担保人, 或者按每日行政拘留二百元的标准交纳保证金, 行政拘留的处罚决定暂缓执行。担保人应当符合下列条件: ( 1 ) 与本案无牵连; (2 ) 享有政治权利, 人身自由未受到限制; (3 ) 在当地有常住户口和固定住所; (4) 有能力履行担保义务。故选D。"
27,"张某在甲省乙市县抗洪抢险中牺牲, 丙县人民政府提出了评定张某为烈士的报告。根据《烈士褒扬条例》, 该评定烈士的报告应由( ) 审查评定。",A. 退役军人事务部B. 甲省人民政府C. 甲省退役军人事务厅D. 乙市人民政府,B,"本题考查烈士评定机关。《烈士褒扬条例》第九条规定, 属于本条例第八条第一款第一项、第二项规定情形的(抢险救灾中牺牲) , 由县级人民政府提出评定烈士的报告并逐级上报至省、自治区、直辖市人民政府审查评定。故选B。"
28,"根据《中华人民共和英国雄烈士保护法》 的规定, 对侵害英雄烈士姓名、肖像、名誉、荣誉的行为, 英雄烈士的近亲属可以依法向人民法院提起诉讼。英雄烈士没有近亲属或者近亲属不提起诉讼的, ( ) 依法对侵害英雄烈士的姓名、肖像、名誉、荣誉, 损害社会公共利益的行为向人民法院提起诉讼。",A. 退役军人事务厅B. 烈士生前所在军队C. 检察机关D. 人民政府,C,"本题考查烈士荣誉保护。 《中华人民共和英国雄烈士保护法》第二十五条规定, 对侵害英雄烈士的姓名、肖像、名誉、荣誉的行为, 英雄烈士的近亲属可以依法向人民法院提起诉讼。英雄烈士没有近亲属或者近亲属不提起诉讼的, 检察机关依法对侵害英雄烈士的姓名、肖像、名誉、荣誉, 损害社会公共利益的行为向人民法院提起诉讼。故选C。"
29,"根据《中华人民共和退国役军人保障法》, 各地应当设置一定数量的基层公务员职位, 面向服现役满( ) 年的高校毕业生退役军人招考。",A. 2 B.3 C.4 D.5,D,"本题考查退役士兵安置的规定。 《中华人民共退和役国军人保障法》第四十三条规定, 各地应当设置一定数的量基层公务职员位, 面向服现役满五年的高校毕业生退役军人招考。故选D。"
30,"根据《军队离休退休干部服务管理办法》, 下列关于军队离休退休干部服务管理说法错误的是( ) 。",A. 举行新接收军休干部的迎接仪式B. 按时发放军休干部离退休费和津贴补贴C. 协助做好军休干部的医疗保障工作D. 主办军休干部去世后的丧葬事宜和遗产处理,D,"本题考查军休干部服务管理的内容。军休服务管理机构应当做好以下服务保障工作: ( 1) 举行新接收军休干部迎接仪式, A 选项正确。( 2) 按时发放军休干部离退休费和津贴补贴, 帮助符合条件的军休干部落实优抚待遇, B选项正确。( 3 ) 协调做好军休干部的医疗保障工作, 落实体检制度, 建立健康档案, 开展医疗保健知识普及活动, 引导军休干部科学保健、健康养生, C 选项正确。(4 ) 培育军休干部文化队伍, 开展军休文化体育活动, 引导和鼓励军休干部参与社会文化活动。( 5) 开展经常性走访探望, 定期了解军休干部情况和需求, 提供必要的关心照顾。(6) 协助办理军休干部去世后的丧葬事宜, 按照政策规定落实遗属待遇, D 选项错误。此外, 退役军人事务部门、军休服务管理机构还应当依法依规加强对军休干部参加社会组织、出国(境) 、著作出书、发表言论等事项的管理, 督促军休干部遵纪守和法遵守军休服务管理机构各项规章制度; 鼓励支持军休干部保持和发扬优良传统, 发挥自身优势, 继续贡献力量。故选D。"
31,"甲社区辖区现有20 个居民小组, 500 户, 18 周岁以上居民2000 人, 50 家企业事业单位。日前, 为修订居民公约, 社区居委会拟召集居民会议。根据《中华人民共和国城市居民委员会组织法》, 下列出席情形, 符合召开居民会议条件的是( ) 。",A. 18 周岁以上居民900 人出席B.200 戶各派1 名代表出席C. 20 个居民小组各选举代表2~3 人出席D. 30 家企业事业单位负责人出席,C,"本题考查召开居民会议的条件。居民会议由18 周岁以上的居民组成。既可以由全体18周岁以上的居民参加, 也可以由每户派代表参加, 还可以由每个居民小组选举代表2~3 人参加。但不管是哪种形式, 居民会议必须由全体18 周岁以上的居民、户的代表或者居民小组选举的代表的过半数出席, 才能举行。会议的决定, 由出席人的过半数通过。故选C。"
32,"人数较多或者居住分散的村, 可以设立村民代表会议, 讨论决定村民会议授权的事项。根据《中华人民共和村国民委员会组织法》, 关于村民代表会议的说法, 正确的是( ) 。","A. 村民代表会议每季度召开一次, 由村民委员会主任召集B. 有十分之一以上的村民代表提议, 应当召集村民代表会议C. 召集村民代表会议, 应当提前五天通知村民代表D. 村民代表会议有三分之二以上的组成人员参加方可召开",D," 本题考查召开村民代表会议的规定。 《中华人民共和村国民委员会组织法》第二十六条规定, 村民代表会议由村民委员会召集, 村民代表会议每季度召开一次, A选项错误。有五分之一以上的村民代表提议, 应当召集村民代表会议, B 选项错误。村民代表会议有三分之二以上的组成人员参加方可召开, 所作决定应当经到会人员的过半数同意, D 选项正确。召集村民会议, 应当提前10 天通知村民, C 选项错误。故选D。"
33,"根据《关于加强和改进城市基层党的建设工作的意见》, 关于提升党组织领导基层治理工作水平的说法, 正确的是( ) 。",A. 社会组织负责人由 “两委” 决定B. 整合党建、综治、城管等各类网格C. 业主委员会成员由 “两委” 成员担任D. 重点依托大型商超建好党群服务中心,B,"本题考查城市社区党的建设。《关于加强和改进城市基层党的建设工作的意见》规定, 提升党组织领导基层治理工作水平应当包括: ( 1 ) 健全党组织领导下的社区居民自治机制。在社区党组织领导下, 以社区居民委员会和居务监督委员会为基础, 完善协同联动的社区治理架构。推进在业主委员会中建立党组织, 符合条件的社区“ 两委” 成员通过法定程序兼任业主委员会成员, C选项错误。(2 ) 领导群团组织和社会组织参与基层治理。推动党的建设有关要求写人社会组织章程, 善于使党组织推荐的人选通过法定程序成为社会组织负责人, A 选项错误。( 3 ) 做实网格党建, 促进精细化治理。根据地域、居民、驻区单位、党组织和党员等情况, 调整优化网格设置, 整合党建、综治、城管等各类网格, B 选项正确。(4 ) 建设覆盖广泛、集约高效的党群服务中心。依托楼宇、园区、商圈、市场或较大的企业, 建设特色鲜明、功能聚焦的区域性党群服务中心(站点) , D 选项错误。故选B。"
34,"根据《中华人民共和乡国村振兴促进法》, 建立健全党委领导、政府负责、民主协商、社会协同、公众参与、法治保障、科技支撑的现代乡村社会治理体制和( )相结合的乡村社会治理体系。",A. 自治、法治、德治B. 自治、法治、共治C. 自治、善治、德治D. 法治、德治、善治,A,"本题考查乡村社会治理体系。 《中华人民共和乡国村振兴促进法》第四十一条规定, 建立健全党委领导、政府负责、民主协商、社会协同、公众参与、法治保障、科技支撑的现代乡村社会治理体制和自治、法治、德治相结合的乡村社会治理体系, 建设充满活力、和谐有序的善治乡村。故选A。"
35,"刘某, 慈善事业热心人士, 2022 年资助边远地区儿童教育公益项目6 万元, 个人申报的应纳税所得额为20 万元。根据《中华人民共和国个人所得税法》, 计算刘某2022 年应纳税所得额时, 可以从其申报的应纳税所得额中扣除( ) 万元。",A. 3 B. 4 C. 5 D. 6,D,"本题考查公益性捐赠税前扣除的规定。 《中华人民共和个国人所得税法》第六条规定, 个人将其所得对教育、扶贫济困等公益慈善事业进行捐赠, 捐赠额未超过纳税人申报的应纳税所得额30%的部分, 可以从其应纳税所得额中扣除; 国务院规定对公益慈善事业捐赠实行全额税前扣除的, 从其规定。根据题目, 刘某申报的应纳税所得额为20 万元, 故可以扣除的金额为20 万元×30 % = 6 万元, 故选D。"
36,"根据《中华人民共和慈国善法》, 慈善信托的受托人应当在慈善信托文件签订之日起七日內, 将相关文件向慈善信托的( ) 所在地县级以上人民政府民政部门备案。",A. 委托人B. 受托人C. 监察人D. 受益人,B,"本题考查公益信托设立的特别规定。 《中华人民共和慈国善法》第四十五条规定, 设立慈善信托、确定受托人和监察人, 应当采取书面形式。受托人应当在慈善信托文件签订之日起七日内, 将相关文件向受托人所在地县级以上人民政府民政部门备案。故选B。"
37,"为了筹集社会公益基金, 促进社会公益事业的发展, 我国境内允许发售彩票,根据《彩票管理条例》, 彩票应经( ) 特许发行。",A. 国务院B. 国务院财政部门C. 国务院民政部门D. 国务院体育行政部门,A,"本题考查彩票管理的规定。《彩票管理条例》规定, 国务院特许发行福利彩票、体育彩票。未经国务院特许, 禁止发行其他彩票。禁止在中华人民共和境国内发行、销售境外彩票。故选A。"
